Project Name,Assignee,Deliverable Checklist,Developer/Sales,KYC,Notes,Onboarding Status,Project Status,Release Date,Services,Units
Stoney Creek Condos,Roell Pereira,,Casatank Brokerage/KSE (Stoney Creek) Limited Partnership,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $72,000
Province: Ontario
# of Homes: 160
Deal Owner: Sandor Segal
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2023-09-01
Development Proposal Stage: 
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact: Nick Goomber
First time using Avesdo? Yes
Customer Type: Developer
Is onboarding contact new to Avesdo? Brand new to Avesdo

Set-Up Details
Trust Account Required: Yes
Selling in phases? No
Unit Breakout: n/a
Project Set-Up: Grid view (Combined tower/townhomes)
Setting up Leads? Yes
Setting up Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? 1 week prior
Setting up Sales Grid? Yes
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: n/a
API/Reporting Requirements: None via API - Master Report only
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? n/a
Why Buy/Challenges we are solving: n/a
What is client's goal from Avesdo? n/a
Why Avesdo? n/a
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Onboarding Email Sent,Not started,,,160
ML Emporio Properties - Melrose,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: 
Deal Value: $68,700
Initial Launch Date: 2021-09-03


KYC Survey:
Deal Owner: Jake Shatz
Initial Launch Date: 2021-09-03
Onboarding Contact: Alex Holme (Key Marketing)
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? N/A
Major problems we're solving? n/a
What does success mean for the client? n/a
Additional comments: This will be the 2nd project to launch",,Released,Released,22-Sep-21,,229
Forest Walk Two/Burnaby Lake Ph 1 Bldg G,Roell Pereira,,Create Urban Properties,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $62,000.00
Province: British Columbia
# of Homes: 310
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-09-27
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Anita Cheong

Set-Up Details
Credit Cards? No
Avesdo Deposits? Yes
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Not sure, it could be Spark
API/Reporting Requirements: Not that I am aware of

Notes
Other Special Customer-Related Notes: 2nd launch of their master agreement",,Awaiting Docs/Info,Indefinitely Delayed,,,310
MLA/Kirpal Group - Saavin,,,,,,Released,Released,09-Sep-20,,
Elliot,Roell Pereira,,MLA,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 60
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-04-01
Sales/Marketing Company: MLA

Contact Details
Onboarding Contact: Kelly Richardson
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Hubspot
API/Reporting Requirements: Y

Notes
Other Special Customer-Related Notes: ",,Awaiting Docs/Info,Indefinitely Delayed,,,60
Hathstauwk Holdings  - Kitsilano Block,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $30,975
Initial Launch Date: 2022-04-1
Province: British Columbia


KYC Survey:
Deal Owner: Sammy Wong
# of Homes: 59
Initial Launch Date: 2022-04-01
Onboarding Contact: Lindsay Maciver
First time using Avesdo? Yes
Competitors, CRMs, other software being used? Lasso
Current process outside Avesdo? First time developer
Major problems we're solving? accuracy
What does success mean for the client? speed and accuracy
Additional comments: ",,Released,Released,29-Mar-22,,59
SOCO | Anthem Properties,,,,,,Released,Released,11-Jan-20,,
Fifth Ave - The Loop Townhomes,Roell Pereira,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $74,690
Initial Launch Date: 2022-06-30
Province: British Columbia


KYC Survey:
Deal Owner: Sammy Wong
# of Homes: 140
Initial Launch Date: 2022-06-30
Onboarding Contact: Trevor at Fifth
First time using Avesdo? Yes
Competitors, CRMs, other software being used? Lasso
Current process outside Avesdo? Paper
Major problems we're solving? Consistency and compliance 
What does success mean for the client? All system under one platform
Additional comments: ",,Released,Released,27-Jul-22,,140
Innovation District Building 9,,,Tien Sher/Stryke,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $30,000.00
Province: British Columbia
# of Homes: 120
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2032-08-13
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Waseem Baluch

Set-Up Details
Credit Cards? No
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: ?
API/Reporting Requirements: None that I know of

Notes
Other Special Customer-Related Notes: ",,Not started,Not started,13-Aug-32,,120
Gryphon - Marco Polo by Gryphon,Jason Hudym,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $89,700
Province: British Columbia
# of Homes: 230
Deal Owner: Steve Curtis
Initial Launch Date: 2023-05-26
Development Proposal Stage: 
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact: Wendy Wang
First time using Avesdo? No
Customer Type: Developer
Is onboarding contact new to Avesdo? New to worksheets

Set-Up Details
Trust Account Required: Yes
Selling in phases? No
Unit Breakout: High rise
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? Unsure at this point, a month prior perhaps.
Setting up Sales Grid? Yes
Setting up Contracts? Yes
Setting up Closings? No
CRM/Lead Ingestion: Not sure
API/Reporting Requirements: None
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? Not sure.
Why Buy/Challenges we are solving: They have sales ppl and buyers in Hong Kong and Taiwan who we will be helping them contract with.
What is client's goal from Avesdo? To use worksheets (perhaps) and the credit card function more often on this project
Why Avesdo? They like the sales tools and their sales ppl love working in our system.
Red Flags/Risks/Potential Roadblocks: 

EFT Payment Settlement Report Recipients: conveyancing@gryphonliving.com

Test Site set up during Pre-Sales?:
No
**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,17-Jul-23,,230
Voya 2,Roell Pereira,,Amacon Ontario,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $19,000
Province: Ontario
# of Homes: 397
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-02-23
Development Proposal Stage: 
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Marie Le
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? Brand new to Avesdo

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Awaiting Docs/Info,Indefinitely Delayed,,,397
Brentwood Project,Rashi Gupta,,Bosa Development/Magnum,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $125,080.00
Province: British Columbia
# of Homes: 472
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-09-27
Development Proposal Stage: ACTIVE_APPROVED
Sales/Marketing Company: Magnum

Contact Details
Onboarding Contact: Caitlin Cramb - initial launch date may be moved to Spring of 2025
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Not started,Not started,,,472
Olia,Rashi Gupta,,Peterson & Magnum,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $82,800.00
Province: British Columbia
# of Homes: 276
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-02-14
Sales/Marketing Company: Magnum

Contact Details
Onboarding Contact: Jerry Chen
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Spark I believe
API/Reporting Requirements: None

Notes
Other Special Customer-Related Notes: Magnum project, launch date highly variable.",,Awaiting Docs/Info,Indefinitely Delayed,,,276
Hazelwood | Hungerford Properties,,,,,,Released,Released,26-Jun-19,,
Exchange District 1 | IHMG ,,,,,,Released,Released,23-Jan-20,,
Greenlane Homes - Touchstone Village Homesite - Relaunch,Jason Hudym,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $101,725
Province: British Columbia
# of Homes: 313
Deal Owner: Sammy Wong
Initial Launch Date: 2023-08-31
Development Proposal Stage: In the process of permit revision
Sales/Marketing Company: rareEarth

Contact Details
Onboarding Contact: James Askew
First time using Avesdo? No
Customer Type: Developer
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? Yes. Final # of phases TBD
Unit Breakout: Pending final split between Condo and Townhomes and Homesite(single family site)
Project Set-Up: Grid view (Townhomes)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? TBD
Setting up Sales Grid? Yes
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: Lasso
API/Reporting Requirements: NA
Related Projects/Relevant Info: Three Touchstone Village sites already exist

Client Goals/Other Information
Competitors, CRMs, other software being used? Nil
Why Buy/Challenges we are solving: No need to renew based on original agreement
What is client's goal from Avesdo? To sell out the project in a few years
Why Avesdo? Happy with our services and capabilities
Red Flags/Risks/Potential Roadblocks: Small chance the project site would be sold to a new company. However they will assign our contract to the new company is that happens

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,12-Jul-24,,313
Fifth Ave Properties/MLA - Nolita,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $20,100
Province: British Columbia
# of Homes: 60
Deal Owner: Steve Curtis
Initial Launch Date: 2022-10-14
Development Proposal Stage: 
Sales/Marketing Company: MLA

Contact Details
Onboarding Contact: Jamie Castle and Paige Hamilton
First time using Avesdo? Yes
Customer Type: Developer
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? No
Unit Breakout: Mid rise
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? Like other small launches with MLA, this is a potential worksheets option, but for now I am going to say No unless I hear otherwise from Mary.
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? No
CRM/Lead Ingestion: Hubspot
API/Reporting Requirements: We are meeting MLA next week to discuss this, as of right now, nothing new.
Related Projects/Relevant Info: N/A

Client Goals/Other Information
Competitors, CRMs, other software being used? Hubspot
Why Buy/Challenges we are solving: We are integrated into MLA's sales process
What is client's goal from Avesdo? N/A
Why Avesdo? N/A
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:
No
**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: This is the first Kelowna launch for MLA. Paige Hamilton comes from Epic so she is familiar with Avesdo.

Their client, Fifth Ave Properties is a first time Avesdo user and will need training on using Avesdo from a signing authority perspective.

There is a long history between me and the owner of the developer. I am attempting to stay in the background on this one. So if you need anything from me that is client facing, please let me know in advance before communicating with the client.",,Released,Released,17-Mar-23,,60
Anthem Properties Group - SOCO 2,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details:

Product Type: Avesdo TMS Platform
Deal Value: $33,750
Province: British Columbia
# of Homes: 225
Deal Owner: Steve Curtis
Initial Launch Date: 2022-08-01
Development Proposal Stage: 
Sales/Marketing Company: Other

Contact Details:

Onboarding Contact: Chalaine Soon
First time using Avesdo? No
Customer Type:Developer Onboarding contact is: No - Existing customer (familiar with full platform)

Set-Up Details:

Trust Account Required: No
Selling in phases? No
Unit Breakout: High rise
Project Set-Up: Grid view (Condo Tower) Setting up Leads? No Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? N/A Setting up Sales Grid? No Setting up Contracts? Yes
Setting up Closings? No
CRM/Lead Ingestion: N/A
API/Reporting Requirements: No
Related Projects/Relevant Info: 

Client Goals/Other Information:

Competitors, CRMs, other software being used? N/S
Why Buy/Challenges we are solving: N/S
What is client's goal from Avesdo? N/A
Why Avesdo? N/A
Red Flags/Risks/Potential Roadblocks: 

Notes:

Other Special Customer-Related Notes: Malinka, Zakk and myself came up with a unique set up process for Anthem so they can be set up projects more efficiently.",,Released,Released,17-Oct-22,,228
Mitchell | MOSAIC,,,,,,Released,Released,13-Mar-20,,
Scott + 75,Rashi Gupta,,Realco/Key Marketing,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $64,125.00
Province: British Columbia
# of Homes: 285
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-02-28
Development Proposal Stage: 
Sales/Marketing Company: Key Marketing

Contact Details
Onboarding Contact: Not sure at this point
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Onboarding Email Sent,Not started,,,285
Wood + Water 3 | Anthem Properties,,,,,,Released,Released,09-Apr-21,,33
Miracon - Mirada Estates,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $22,000
Initial Launch Date: 2021-11-20
Province: British Columbia


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 55
Initial Launch Date: 2021-11-20
Onboarding Contact: Amy Rebedos
First time using Avesdo? No
Competitors, CRMs, other software being used? None, but they considered Salesfish instead of us. Our pricing on this deal was to match Salesfish.
Current process outside Avesdo? Avesdo is current process
Major problems we're solving? N/A
What does success mean for the client? Their plan is to presale 18 homes and then hold off sales for 6 months while they build a show home and then do a public launch. With this type of product it will be a slower absorption.
Additional comments: The project is single family, but after discussing with Amy, will not require an arch control site. Everything is preplanned on site so there won't be options for different models or different elevations on different lots.",,Released,Released,20-Nov-21,,55
Sun Towers 1 | Belford Properties,,,,,,Released,Released,05-Apr-17,,
